"filename", "language", "JSON", "JavaScript", "Properties", "HTML", "JavaScript JSX", "Markdown", "CSS", "XML", "MS SQL", "comment", "blank", "total"
"c:\Users\Acer\Desktop\FYP\.env", "Properties", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Acer\Desktop\FYP\Backend\Middleware\adminAuthmiddleware.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\Acer\Desktop\FYP\Backend\Middleware\authMiddleware.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 7, 37
"c:\Users\Acer\Desktop\FYP\Backend\controller\appointmentController.js", "JavaScript", 0, 236, 0, 0, 0, 0, 0, 0, 0, 20, 46, 302
"c:\Users\Acer\Desktop\FYP\Backend\controller\authController.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 9, 42
"c:\Users\Acer\Desktop\FYP\Backend\controller\cartController.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 19, 24, 135
"c:\Users\Acer\Desktop\FYP\Backend\controller\customerController.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 14, 58
"c:\Users\Acer\Desktop\FYP\Backend\controller\dashboardController.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Acer\Desktop\FYP\Backend\controller\orderController.js", "JavaScript", 0, 166, 0, 0, 0, 0, 0, 0, 0, 10, 30, 206
"c:\Users\Acer\Desktop\FYP\Backend\controller\paymentController.js", "JavaScript", 0, 157, 0, 0, 0, 0, 0, 0, 0, 3, 30, 190
"c:\Users\Acer\Desktop\FYP\Backend\controller\productController.js", "JavaScript", 0, 139, 0, 0, 0, 0, 0, 0, 0, 10, 27, 176
"c:\Users\Acer\Desktop\FYP\Backend\controller\profileController.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 7, 21, 115
"c:\Users\Acer\Desktop\FYP\Backend\controller\userController.js", "JavaScript", 0, 355, 0, 0, 0, 0, 0, 0, 0, 73, 57, 485
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20241124073320_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 36, 7, 11, 54
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250126061735_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 35, 29, 13, 77
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250303090504_add_appointment\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 2, 12
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250310071859_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 3, 18
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250310073940_add_users\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 3, 13
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250311082231_update_appointment_model\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250328180423_add_product\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 21, 17, 7, 45
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250329104051_add_table\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 8, 38
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250407095913_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 20, 17, 5, 42
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250415090841_add_payment_model\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 3, 18
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250415093151_update_payment_model\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 2, 12
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250422055957_fix_customer_userid\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 3, 15
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250423052128_add_created_at_to_appointment\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250423060212_updte_appoinment\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250426102120_add_category_to_product\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Users\Acer\Desktop\FYP\Backend\prisma\migrations\20250427073634_add_stock_field\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Users\Acer\Desktop\FYP\Backend\routes\adminRoutes.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Acer\Desktop\FYP\Backend\routes\appointmentRoutes.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 5, 19
"c:\Users\Acer\Desktop\FYP\Backend\routes\cartRoutes.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Acer\Desktop\FYP\Backend\routes\dashboardRoutes.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\Acer\Desktop\FYP\Backend\routes\orderRoute.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 6, 29
"c:\Users\Acer\Desktop\FYP\Backend\routes\paymentRoutes.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\Acer\Desktop\FYP\Backend\routes\productRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Acer\Desktop\FYP\Backend\routes\profileRoutes.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Acer\Desktop\FYP\Backend\routes\userRoutes.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Acer\Desktop\FYP\Backend\server.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 11, 77
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\README.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\index.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\package-lock.json", "JSON", 7423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7424
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\package.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 4, 71
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\AppoinmentCancel.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 6, 15, 104
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\AppointmentList.jsx", "JavaScript JSX", 0, 0, 0, 0, 151, 0, 0, 0, 0, 2, 21, 174
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\CourseCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\CustomerNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 0, 1, 8, 127
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\CustomerRegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 157, 0, 0, 0, 0, 1, 12, 170
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 112, 0, 0, 0, 0, 2, 8, 122
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\Hero.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 2, 5, 95
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\MyOrders.jsx", "JavaScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 2, 12, 123
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 0, 1, 5, 97
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\ServiceCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 2, 38
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\StaffRegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 149, 0, 0, 0, 0, 1, 12, 162
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\Tab.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 6, 42
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\data\course.json", "JSON", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\data\service.json", "JSON", 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 510
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\layout\AuthLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\layout\CustomerLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\layout\MainLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\layout\StaffLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\EmailVerifyPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 5, 49
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\ForgotPasswordPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 5, 72
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 157, 0, 0, 0, 0, 8, 22, 187
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\ResetPasswordPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 5, 76
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\SignUpPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 3, 15
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\cart\CartPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 164, 0, 0, 0, 0, 1, 20, 185
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\cart\OrderForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 3, 14, 124
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\AboutUsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 4, 107
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\BookNowPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 2, 16, 194
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\CartPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 20, 184
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\CoursePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 0, 1, 5, 87
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\ProductPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 207, 0, 0, 0, 0, 12, 29, 248
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 3, 21, 200
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\ServiceDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 9, 124
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\ServicePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 0, 3, 7, 65
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\payment\Failure.jsx", "JavaScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\payment\Payment.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 5, 56
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\payment\Success.jsx", "JavaScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 17, 126
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\staff\StaffHomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\tailwind.config.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\vite.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"c:\Users\Acer\Desktop\FYP\admin\README.md", "Markdown", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
"c:\Users\Acer\Desktop\FYP\admin\eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\Acer\Desktop\FYP\admin\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Acer\Desktop\FYP\admin\layout\DashboardLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 3, 19
"c:\Users\Acer\Desktop\FYP\admin\package-lock.json", "JSON", 4921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4922
"c:\Users\Acer\Desktop\FYP\admin\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Acer\Desktop\FYP\admin\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Acer\Desktop\FYP\admin\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Acer\Desktop\FYP\admin\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Users\Acer\Desktop\FYP\admin\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 3, 28
"c:\Users\Acer\Desktop\FYP\admin\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Acer\Desktop\FYP\admin\src\components\AddProduct.jsx", "JavaScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 23, 199
"c:\Users\Acer\Desktop\FYP\admin\src\components\AllAppoinmentList.jsx", "JavaScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 0, 2, 17, 153
"c:\Users\Acer\Desktop\FYP\admin\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"c:\Users\Acer\Desktop\FYP\admin\src\components\OrderChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Acer\Desktop\FYP\admin\src\components\Orderlist.jsx", "JavaScript JSX", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 15, 168
"c:\Users\Acer\Desktop\FYP\admin\src\components\ProductList.jsx", "JavaScript JSX", 0, 0, 0, 0, 302, 0, 0, 0, 0, 4, 33, 339
"c:\Users\Acer\Desktop\FYP\admin\src\components\RecentOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Acer\Desktop\FYP\admin\src\components\SideNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 0, 4, 6, 72
"c:\Users\Acer\Desktop\FYP\admin\src\components\StatCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Acer\Desktop\FYP\admin\src\components\UpdateOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 7, 65
"c:\Users\Acer\Desktop\FYP\admin\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Acer\Desktop\FYP\admin\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Acer\Desktop\FYP\admin\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 10, 81
"c:\Users\Acer\Desktop\FYP\admin\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 2, 8, 79
"c:\Users\Acer\Desktop\FYP\admin\tailwind.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\Acer\Desktop\FYP\admin\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\Acer\Desktop\FYP\package-lock.json", "JSON", 2742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2743
"c:\Users\Acer\Desktop\FYP\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"Total", "-", 15820, 1709, 8, 30, 4299, 12, 80, 4, 180, 373, 911, 23426